Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
957, CN,51,60.8%,3.7,1.8,2.1,6.1,7.4,-,62.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
ADD, KR,4,75%,4.3,1.8,2.5,9.0,7.2,353,75.8%,19.6,404,-,0.6,0.2,0.08,-97,-0,49,25%,25%,0,1,2016 Spring
Achuu, DK,17,41.2%,3.0,2.4,2.4,4.6,9.2,415,51.7%,29.3,622,-,0.43,0.2,0.07,-146,11,394,0%,5.9%,0,4,2016 Spring
Acorn, KR,1,100%,2.3,5.0,6.0,9.0,6.4,-,93.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Adrian, US,24,83.3%,7.1,0.4,1.7,11.8,0.6,290,77.2%,4.6,102,-,1.41,0.3,0.24,234,-6,275,41.7%,0%,0,-,2016 Spring
Adryh, ES,14,14.3%,2.1,1.9,2.6,3.4,7.8,352,80.3%,29.1,490,-,0.47,0.23,0.07,-614,-17,-140,14.3%,7.1%,0,-,2016 Spring
Airwaks, CH,22,31.8%,2.2,1.9,3.2,5.0,4.2,335,69.8%,18.7,313,-,0.96,0.46,0.17,164,5,-90,40.9%,18.2%,0,2,2016 Spring
Albis, TW,3,0%,0.6,0.3,4.3,2.3,1.2,231,58.7%,8,130,-,1.51,0.41,0.26,-132,-1,-70,0%,0%,0,-,2016 Spring
Alex Ich, RU,23,21.7%,2.1,1.7,2.9,4.3,8.2,359,68.1%,28.2,477,-,0.43,0.17,0.08,-365,-9,-422,21.7%,8.7%,0,2,2016 Spring
Altec, CA,18,38.9%,2.9,2.8,2.4,4.2,8.5,384,64.9%,24.7,458,-,0.46,0.25,0.1,-500,-8,-168,11.1%,16.7%,0,2,2016 Spring
Amazing, DE,34,55.9%,4.0,2.4,2.1,5.9,4.1,342,67%,16.8,329,-,0.85,0.53,0.17,-49,-2,-177,44.1%,8.8%,0,1,2016 Spring
Ambition, KR,44,50%,3.3,2.1,2.0,4.6,4.9,366,68.5%,20.9,386,-,0.77,0.64,0.17,278,7,489,34.1%,13.6%,0,7,2016 Spring
Anex, TW,3,0%,2.0,1.7,2.7,3.7,8.5,366,100%,32.2,548,-,0.59,0.25,0.13,-734,-10,-564,0%,0%,0,-,2016 Spring
Apex, TW,8,37.5%,2.3,2.0,2.3,3.1,8.4,368,67.6%,31.4,479,-,0.62,0.26,0.15,-238,-10,-92,0%,25%,0,-,2016 Spring
Aphromoo, US,49,61.2%,3.2,0.4,2.9,9.0,0.7,266,73.3%,7.7,150,-,1.06,0.33,0.23,113,-3,22,34.7%,4.1%,0,-,2016 Spring
Apollo, US,21,19%,2.7,2.7,2.4,3.9,8.8,384,64.3%,27.8,488,-,0.46,0.23,0.12,-90,-0,-163,19%,4.8%,0,1,2016 Spring
Ares,,4,25%,1.1,1.3,4.3,3.3,3.9,309,53.3%,17.6,307,-,0.9,0.54,0.17,-539,3,-513,0%,0%,0,-,2016 Spring
Armao, US,3,0%,1.4,0.7,3.0,3.7,2.8,272,76.2%,16.2,193,-,0.87,0.31,0.09,-727,-15,-1021,33.3%,0%,0,-,2016 Spring
Arrow, KR,46,63%,5.1,3.4,1.7,5.4,8.8,404,68.6%,25.1,500,-,0.57,0.37,0.11,-117,-2,-90,19.6%,2.2%,0,1,2016 Spring
Athena, KR,10,50%,6.0,3.6,1.7,6.6,8.2,-,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Atom,,14,14.3%,1.4,1.6,3.4,3.3,6.8,327,66.5%,17.9,287,-,0.49,0.13,0.1,-470,-12,-492,21.4%,7.1%,0,1,2016 Spring
BIG, US,16,37.5%,2.9,0.4,2.3,6.4,0.7,238,78.9%,5.3,81,-,1.19,0.31,0.29,-78,-2,-115,25%,12.5%,0,-,2016 Spring
Balls,,22,59.1%,2.7,1.9,2.6,5.2,7.2,375,52.5%,17.1,361,-,0.41,0.1,0.06,277,8,238,13.6%,31.8%,0,6,2016 Spring
Bang, KR,76,71.1%,7.3,4.1,1.3,5.7,9.3,440,66.3%,30.4,660,-,0.54,0.23,0.06,141,3,229,18.4%,6.6%,1,6,2016 Spring
Bdd, KR,22,40.9%,3.2,2.7,2.6,5.5,8.0,364,83.5%,28,500,-,0.6,0.18,0.07,-113,0,-113,0%,27.3%,0,1,2016 Spring
BetongJocke,,10,20%,1.3,0.9,3.9,4.0,4.1,313,73.2%,17.3,282,-,0.91,0.57,0.22,-122,2,348,30%,10%,0,-,2016 Spring
Betsy,,22,31.8%,3.6,3.5,2.0,3.6,9.1,411,73%,32.1,547,-,0.48,0.2,0.11,437,18,602,31.8%,0%,0,9,2016 Spring
Beyond, KR,4,75%,4.3,3.5,2.0,5.0,4.9,361,60.9%,15,317,-,0.72,0.51,0.1,63,1,264,75%,0%,0,-,2016 Spring
BillyBoss,,19,15.8%,1.7,1.2,3.3,4.4,6.8,338,52.2%,16.8,292,-,0.54,0.11,0.1,-217,-0,-1,21.1%,21.1%,0,3,2016 Spring
Bischu,,3,0%,2.3,0.3,3.0,6.7,0.8,224,75.6%,3.9,68,-,1.37,0.31,0.27,-192,1,668,33.3%,0%,0,-,2016 Spring
Bjergsen, DK,38,55.3%,5.8,4.2,1.8,6.1,8.4,413,72.8%,28.8,597,-,0.47,0.15,0.1,180,8,246,7.9%,2.6%,0,12,2016 Spring
Bless, KR,3,100%,8.3,2.3,1.3,8.7,4.2,340,90.8%,14.9,278,-,0.76,0.67,0.12,-21,9,260,33.3%,0%,0,-,2016 Spring
BoBo, TW,8,37.5%,1.8,1.6,2.4,2.8,7.2,357,68.3%,26.2,424,-,0.48,0.2,0.08,56,5,278,12.5%,37.5%,0,1,2016 Spring
Borisal,,7,42.9%,4.1,2.7,2.0,5.4,8.2,-,73.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Bubbling,,46,41.3%,2.5,1.3,2.7,5.3,3.7,316,64.6%,15.3,277,-,0.84,0.54,0.17,-536,-9,-637,21.7%,10.9%,0,2,2016 Spring
Bunny FuFuu,,2,0%,1.2,0.0,3.0,3.5,0.9,219,55.7%,5.6,84,-,1.42,0.26,0.25,-238,1,-715,0%,0%,0,-,2016 Spring
Cabochard, FR,22,63.6%,5.1,2.8,1.7,5.7,7.5,379,69.9%,21.9,422,-,0.52,0.12,0.11,388,9,358,36.4%,9.1%,0,12,2016 Spring
Caedrel, GB,5,40%,2.6,1.0,2.2,4.8,8.3,377,59.1%,22.5,391,-,0.54,0.27,0.11,-495,-24,-676,0%,40%,0,-,2016 Spring
Caveman,,47,51.1%,3.7,0.7,2.6,8.8,1.3,-,72.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Celebrity, VN,3,0%,1.0,1.3,3.0,1.7,8.2,354,57.9%,20.6,297,-,0.4,0.1,0.02,225,-6,-596,0%,0%,0,-,2016 Spring
Chaser,,32,43.8%,3.7,1.9,2.0,5.4,4.4,350,81.6%,16.2,301,-,0.89,0.54,0.25,63,-1,35,50%,6.3%,0,-,2016 Spring
Chawy,,1,0%,0.7,1.0,3.0,1.0,8.4,335,66.7%,26.2,365,-,0.41,0.12,0.15,-338,-3,-341,0%,100%,0,-,2016 Spring
Chei,,48,54.2%,3.9,0.6,1.9,6.9,1.1,252,71.7%,6.1,107,-,1.48,0.41,0.4,23,0,140,25%,10.4%,0,-,2016 Spring
Chimin,,18,11.1%,1.7,1.6,3.2,3.8,4.1,-,71.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
City,,1,0%,0.7,0.0,3.0,2.0,1.1,-,40%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
ClearLove, CN,39,74.4%,7.2,3.5,1.5,7.6,4.5,-,70.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
CoCo,,33,45.5%,2.9,2.7,2.3,4.0,8.7,395,70.3%,30,574,-,0.66,0.24,0.1,-32,-1,-94,33.3%,9.1%,0,10,2016 Spring
Comeback, RO,43,62.8%,3.7,0.8,2.6,8.7,1.1,259,75.2%,6.4,125,-,1.33,0.44,0.32,67,-1,-86,25.6%,9.3%,0,1,2016 Spring
Condi,,51,60.8%,5.0,2.4,1.8,6.6,4.3,-,70.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Cool,,24,50%,3.6,3.0,2.5,6.2,8.6,-,71.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
CoreJJ, KR,29,48.3%,3.9,1.9,1.6,4.2,9.0,392,64%,24.6,451,-,0.53,0.28,0.05,-137,-1,205,13.8%,13.8%,0,-,2016 Spring
Cpt Jack,,28,60.7%,3.7,2.7,1.7,3.7,9.2,412,58.3%,29.3,561,-,0.46,0.28,0.06,68,3,75,17.9%,0%,0,-,2016 Spring
Crash, KR,11,63.6%,2.7,2.5,2.8,5.2,4.7,380,69.1%,19,347,-,0.85,0.51,0.15,603,10,810,18.2%,18.2%,0,2,2016 Spring
Crazy, KR,7,57.1%,2.0,2.0,3.3,4.7,6.6,333,62.7%,17.3,325,-,0.6,0.22,0.09,-1005,-16,-815,14.3%,42.9%,0,1,2016 Spring
Cris,,8,62.5%,3.7,3.4,2.5,5.8,7.0,373,71.7%,24.1,509,-,0.54,0.14,0.09,438,14,590,25%,12.5%,0,4,2016 Spring
Crisis,,27,37%,2.8,2.8,3.1,5.9,3.5,-,74.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Crown, KR,44,50%,3.5,2.6,2.0,4.3,9.2,408,70.7%,30.5,557,-,0.62,0.23,0.12,-21,2,69,20.5%,22.7%,1,11,2016 Spring
Crumbzz,,22,40.9%,2.3,1.7,3.0,5.4,3.8,331,72.5%,14.5,263,-,0.92,0.56,0.24,89,1,-16,40.9%,9.1%,0,1,2016 Spring
Crush, KR,47,19.1%,2.1,1.7,2.6,3.9,4.2,322,66.9%,15.6,275,-,0.66,0.47,0.13,-216,-1,-128,27.7%,14.9%,0,-,2016 Spring
CuVee, KR,44,50%,2.6,1.7,2.4,4.4,7.7,372,59.4%,19.4,357,-,0.57,0.15,0.12,-68,-2,-253,13.6%,9.1%,0,2,2016 Spring
DanDy, KR,47,51.1%,4.3,3.1,2.2,6.4,4.6,-,75.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Dardoch, US,28,53.6%,5.2,3.1,2.1,7.7,4.3,360,79.7%,19.3,392,-,0.66,0.43,0.12,273,2,106,42.9%,3.6%,0,2,2016 Spring
Dark,,5,0%,2.6,2.2,3.2,6.0,6.3,-,62.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Darshan, CA,49,61.2%,3.3,2.7,2.4,5.3,7.0,371,62.9%,19.6,387,-,0.5,0.13,0.08,268,2,-31,30.6%,14.3%,0,12,2016 Spring
Dee, TW,8,37.5%,2.6,1.8,1.9,3.1,8.0,364,72.9%,19.6,321,-,0.4,0.23,0.08,-539,-11,-439,0%,0%,0,1,2016 Spring
Deft, KR,42,69%,5.3,4.9,2.2,6.8,8.6,-,77.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Diamondprox, RU,4,75%,3.5,2.5,2.0,4.5,4.4,362,65%,18.2,366,-,0.85,0.51,0.13,332,6,282,100%,0%,0,-,2016 Spring
Djoko, FR,2,50%,3.8,0.5,3.0,11.0,4.7,368,74.6%,14.9,287,-,1.17,0.49,0.1,304,6,622,100%,0%,0,-,2016 Spring
Doinb, KR,33,66.7%,3.9,3.8,2.8,7.0,8.2,356,69.2%,28.5,471,-,0.62,0.32,0.09,-511,-14,-589,6.1%,3%,0,-,2016 Spring
Doublelift, US,38,55.3%,3.8,4.4,2.6,5.6,8.7,422,68.9%,28,580,-,0.45,0.32,0.07,-82,2,39,15.8%,2.6%,1,7,2016 Spring
Dreamer,,8,37.5%,2.0,0.1,2.4,4.6,1.4,248,74.7%,6.7,103,-,1.53,0.35,0.33,-135,5,-300,0%,25%,0,-,2016 Spring
Duke, KR,76,71.1%,5.3,2.6,1.6,6.0,8.2,402,63.6%,18.2,395,-,0.45,0.13,0.06,186,7,412,18.4%,6.6%,0,21,2016 Spring
Dumbledoge, TR,17,41.2%,2.6,0.9,2.8,6.6,1.0,261,66.3%,10.4,220,-,1.2,0.4,0.22,-248,-1,-398,11.8%,17.6%,0,1,2016 Spring
Easyhoon, KR,47,51.1%,3.9,3.1,2.3,5.7,8.6,-,70.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Edge, KR,47,19.1%,2.8,2.2,2.0,3.4,8.6,371,69.7%,29.8,527,-,0.45,0.18,0.11,-56,1,-13,21.3%,10.6%,0,9,2016 Spring
Edward, AM,4,25%,1.8,0.8,2.5,3.8,1.3,249,53.2%,3.4,51,-,1.23,0.41,0.27,126,4,-20,25%,0%,0,-,2016 Spring
Eika, FR,18,33.3%,1.9,1.8,2.9,3.7,8.3,368,63.7%,28.5,493,-,0.61,0.17,0.12,-359,-11,-472,27.8%,11.1%,0,1,2016 Spring
Eimy,,27,59.3%,3.6,2.3,2.4,6.3,3.7,-,64.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Ella,,46,54.3%,3.1,0.5,2.6,7.4,1.4,-,69.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Emperor, KR,36,63.9%,3.4,3.4,2.5,5.3,8.5,416,63.6%,25.2,518,-,0.42,0.2,0.05,-48,-5,-191,16.7%,2.8%,0,3,2016 Spring
Endless,,47,51.1%,3.7,3.4,2.4,5.5,8.2,-,68.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Eve,,2,0%,0.8,1.0,3.0,1.5,4.0,308,100%,15.4,219,-,0.7,0.47,0.08,-708,-14,-548,0%,0%,0,-,2016 Spring
Expession,,26,50%,3.6,1.8,1.7,4.2,7.8,379,63.8%,18.8,345,-,0.5,0.17,0.08,206,4,171,26.9%,11.5%,0,2,2016 Spring
FORG1VEN, GR,28,64.3%,5.8,3.1,1.4,5.0,9.8,432,68.8%,31.4,596,-,0.5,0.3,0.02,299,12,332,17.9%,7.1%,0,-,2016 Spring
Faker, KR,75,72%,4.6,3.8,2.1,5.7,8.7,428,68.1%,29.3,632,-,0.56,0.25,0.09,163,4,202,18.7%,10.7%,0,28,2016 Spring
Febiven, NL,44,50%,4.7,3.4,1.8,5.0,8.8,403,70.6%,26.8,472,-,0.49,0.16,0.1,130,4,200,22.7%,9.1%,0,6,2016 Spring
Feng, CN,19,26.3%,2.1,1.8,3.2,4.9,6.5,337,62.5%,19.3,335,-,0.52,0.13,0.11,-443,-6,-452,31.6%,10.5%,0,1,2016 Spring
FeniX, KR,29,51.7%,4.7,3.6,1.9,5.4,9.3,413,68.4%,29,587,-,0.34,0.1,0.05,238,14,301,10.3%,6.9%,0,7,2016 Spring
Fireloli,,3,0%,0.8,0.7,5.3,3.3,3.7,-,62.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
FishBall,,5,40%,1.8,2.2,4.2,5.2,3.7,-,71.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Five,,36,50%,3.7,0.7,2.8,9.4,1.3,-,71.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Flame, KR,17,47.1%,3.3,2.5,2.2,4.6,7.8,389,60.2%,19.6,377,-,0.57,0.15,0.13,187,4,76,5.9%,17.6%,0,6,2016 Spring
Flandre, CN,46,54.3%,3.2,3.0,2.6,5.2,8.6,-,73.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Flaresz,,11,27.3%,1.5,2.3,4.0,3.9,6.5,331,55.3%,19.6,357,-,0.49,0.19,0.1,-489,-8,-330,36.4%,18.2%,0,3,2016 Spring
Flawless, KR,44,20.5%,1.7,1.3,3.0,3.7,4.1,317,67.9%,16.7,270,-,0.91,0.63,0.26,-306,-2,-249,31.8%,11.4%,0,2,2016 Spring
Fly, KR,46,63%,4.3,2.5,2.1,6.6,8.2,383,71.7%,25.3,504,-,0.55,0.22,0.13,-94,-2,-22,34.8%,10.9%,0,5,2016 Spring
FoFo, TW,5,40%,1.5,1.2,2.0,1.8,8.7,361,54.2%,30.8,514,-,0.54,0.18,0.17,53,14,140,40%,0%,0,1,2016 Spring
Fox, SE,21,47.6%,3.9,3.5,2.3,5.7,8.2,394,67.1%,27.3,543,-,0.37,0.13,0.07,-85,-5,-290,38.1%,9.5%,0,7,2016 Spring
Freeze, CZ,19,47.4%,4.1,3.4,1.8,4.2,9.5,432,68.3%,29.6,547,-,0.43,0.24,0.06,338,10,117,31.6%,0%,0,-,2016 Spring
Froggen, DK,12,50%,5.4,2.8,1.5,5.3,9.2,409,76.3%,35.5,593,-,0.54,0.23,0.15,161,5,211,41.7%,0%,0,2,2016 Spring
Frozen, KR,10,60%,4.7,2.2,1.5,4.9,8.7,413,55.1%,27.5,482,-,0.54,0.22,0.09,241,-2,-98,20%,10%,0,4,2016 Spring
Fury, KR,15,26.7%,3.3,2.7,1.9,3.5,8.7,386,62.2%,27.3,502,-,0.51,0.33,0.09,-67,-3,-136,33.3%,0%,0,1,2016 Spring
GBM, KR,20,40%,3.4,3.1,2.3,4.5,8.0,378,77.5%,33.3,579,-,0.29,0.2,0.09,-381,-8,-112,5%,0%,0,4,2016 Spring
GODFRED,,16,12.5%,2.0,0.1,2.3,4.4,0.7,226,74.7%,6.1,89,-,1.02,0.2,0.19,-289,-4,-394,18.8%,12.5%,0,-,2016 Spring
GODV,,39,48.7%,2.7,3.2,2.7,4.3,8.8,-,64.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Gamsu, KR,44,50%,3.5,2.2,2.3,6.0,7.3,367,69.5%,20.1,359,-,0.44,0.16,0.07,6,-1,67,11.4%,15.9%,0,12,2016 Spring
Gate, US,23,34.8%,2.6,1.1,3.1,6.9,2.1,277,73.4%,11.3,188,-,1,0.24,0.21,-239,-4,-24,43.5%,8.7%,0,-,2016 Spring
Gilius, DE,18,33.3%,2.0,0.9,2.8,4.7,3.4,308,67.1%,14.1,253,-,0.75,0.56,0.14,-191,-4,-208,27.8%,11.1%,0,2,2016 Spring
GimGoon, KR,39,35.9%,2.9,2.6,2.7,5.2,7.5,-,62.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Godbro, DK,8,25%,1.5,2.5,3.0,1.9,7.6,360,47.1%,25.1,450,-,0.5,0.16,0.09,-643,-30,-1005,37.5%,0%,0,4,2016 Spring
Goldenglue, US,5,0%,2.1,1.4,2.2,3.2,8.3,363,55.5%,28.7,386,-,0.59,0.28,0.11,-564,-15,-431,40%,20%,0,-,2016 Spring
GorillA, KR,45,77.8%,5.3,0.5,2.0,10.1,1.2,277,69.8%,5.7,117,-,1.36,0.29,0.3,92,1,362,37.8%,2.2%,0,3,2016 Spring
GuGer, KR,47,19.1%,1.9,0.3,3.0,5.4,1.1,237,69.9%,7.2,125,-,1.44,0.36,0.32,-40,1,-195,23.4%,4.3%,0,1,2016 Spring
Hai, US,20,65%,3.4,0.4,3.0,9.7,0.8,278,70.7%,8.2,176,-,1,0.37,0.17,203,-1,193,20%,5%,0,-,2016 Spring
